
2024/01/02 (17:47:19) | ===> btop++ v.1.2.13
2024/01/02 (17:47:19) | ERROR: Stall in Runner thread, restarting!

2024/01/13 (20:23:15) | ===> btop++ v.1.3.0
2024/01/13 (20:23:15) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2024/01/13 (20:23:19) | ===> btop++ v.1.3.0
2024/01/13 (20:23:19) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2024/01/13 (20:23:28) | ===> btop++ v.1.3.0
2024/01/13 (20:23:28) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/01/13 (20:23:42) | ===> btop++ v.1.3.0
2024/01/13 (20:23:42) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2024/03/27 (23:16:21) | ===> btop++ v.1.3.2
2024/03/27 (23:16:21) | ERROR: Stall in Runner thread, restarting!
2024/03/27 (23:16:32) | ERROR: Stall in Runner thread, restarting!
2024/03/27 (23:16:32) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/03/27 (23:16:33) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/03/27 (23:16:34) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/03/27 (23:16:58) | ERROR: Stall in Runner thread, restarting!
2024/03/27 (23:16:59) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/03/27 (23:16:59) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/03/27 (23:17:00) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/03/27 (23:17:11) | ERROR: Stall in Runner thread, restarting!
2024/03/27 (23:17:11) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/03/27 (23:17:12) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/03/27 (23:18:15) | ERROR: Stall in Runner thread, restarting!
2024/03/27 (23:19:04) | ERROR: Stall in Runner thread, restarting!
2024/03/27 (23:19:11) | ERROR: Stall in Runner thread, restarting!
2024/03/27 (23:19:17) | ERROR: Stall in Runner thread, restarting!
2024/03/27 (23:34:14) | ERROR: Stall in Runner thread, restarting!
2024/03/27 (23:36:10) | ERROR: Stall in Runner thread, restarting!

2024/03/28 (00:22:25) | ===> btop++ v.1.3.2
2024/03/28 (00:22:25) | ERROR: Stall in Runner thread, restarting!

2024/03/28 (00:28:51) | ===> btop++ v.1.3.2
2024/03/28 (00:29:01) | ERROR: Stall in Runner thread, restarting!
2024/03/28 (00:30:50) | ERROR: Stall in Runner thread, restarting!
2024/03/28 (00:30:56) | ERROR: Stall in Runner thread, restarting!
2024/03/28 (00:31:03) | ERROR: Stall in Runner thread, restarting!
2024/03/28 (00:31:25) | WARNING: Failed to join _runner thread on exit!

2024/03/28 (00:32:26) | ===> btop++ v.1.3.2
2024/03/28 (00:32:26) | ERROR: Stall in Runner thread, restarting!
2024/03/28 (00:33:04) | ERROR: Stall in Runner thread, restarting!
2024/03/28 (00:36:36) | ERROR: Stall in Runner thread, restarting!
2024/03/28 (00:59:10) | ERROR: Stall in Runner thread, restarting!
2024/03/28 (00:59:17) | ERROR: Stall in Runner thread, restarting!
